"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Belgium",2020-03-22,4995,7688,10381,1191,3401,88,"50.503887","4.469936"
"Belgium",2020-03-23,5273,8115,10957,1257,3743,122,"50.503887","4.469936"
"Belgium",2020-03-24,5565,8565,11565,1327,4269,178,"50.503887","4.469936"
"Belgium",2020-03-25,5874,9041,12208,1400,4937,220,"50.503887","4.469936"
"Belgium",2020-03-26,6200,9543,12886,1478,6235,289,"50.503887","4.469936"
"Belgium",2020-03-27,6545,10073,13601,1560,7284,353,"50.503887","4.469936"
"Belgium",2020-03-28,6908,10632,14356,1647,9134,431,"50.503887","4.469936"
"Belgium",2020-03-29,7291,11222,15153,1738,10836,513,"50.503887","4.469936"
"Belgium",2020-03-30,7696,11845,15994,1835,11899,705,"50.503887","4.469936"
"Belgium",2020-03-31,8124,12503,16882,1936,12775,828,"50.503887","4.469936"
"Belgium",2020-04-01,8575,13197,17819,2044,13964,1011,"50.503887","4.469936"
"Belgium",2020-04-02,9051,13930,18809,2157,15348,1143,"50.503887","4.469936"
"Belgium",2020-04-03,9553,14703,19853,2277,16770,1283,"50.503887","4.469936"
"Belgium",2020-04-04,10083,15519,20955,2404,18431,1447,"50.503887","4.469936"
"Belgium",2020-04-05,10643,16381,22119,2537,19691,1632,"50.503887","4.469936"
"Belgium",2020-04-06,11235,17291,23347,2678,20814,2035,"50.503887","4.469936"
"Belgium",2020-04-07,11858,18250,24642,2827,22194,2240,"50.503887","4.469936"
"Belgium",2020-04-08,12517,19264,26011,2984,23403,2523,"50.503887","4.469936"
"Belgium",2020-04-09,13211,20333,27455,3149,24983,3019,"50.503887","4.469936"
"Belgium",2020-04-10,13945,21462,28979,3324,26667,3346,"50.503887","4.469936"
"Belgium",2020-04-11,14719,22654,30589,3509,28018,3600,"50.503887","4.469936"
"Belgium",2020-04-12,15536,23911,32286,3703,29647,3903,"50.503887","4.469936"
"Belgium",2020-04-13,16399,25239,34079,3909,30589,4157,"50.503887","4.469936"
"Belgium",2020-04-14,17309,26640,35971,4126,31119,4440,"50.503887","4.469936"
"Belgium",2020-04-15,18270,28119,37968,4355,33573,4857,"50.503887","4.469936"
"Belgium",2020-04-16,19284,29680,40076,4597,34809,5163,"50.503887","4.469936"
"Belgium",2020-04-17,20355,31328,42301,4852,36138,5453,"50.503887","4.469936"
"Belgium",2020-04-18,21485,33067,44649,5121,37183,5683,"50.503887","4.469936"
"Belgium",2020-04-19,22678,34903,47128,5406,38496,5828,"50.503887","4.469936"
"Belgium",2020-04-20,23937,36841,49745,5706,39983,5998,"50.503887","4.469936"
"Belgium",2020-04-21,25266,38886,52506,6023,40956,6262,"50.503887","4.469936"
"Belgium",2020-04-22,26669,41045,55421,6357,41889,6490,"50.503887","4.469936"
"Belgium",2020-04-23,28149,43324,58499,6710,42797,6679,"50.503887","4.469936"
"Belgium",2020-04-24,29712,45729,61746,7082,44293,6917,"50.503887","4.469936"
"Belgium",2020-04-25,31362,48268,65174,7476,45325,7094,"50.503887","4.469936"
"Belgium",2020-04-26,33103,50948,68793,7891,46134,7207,"50.503887","4.469936"
"Belgium",2020-04-27,34941,53777,72613,8329,46687,7331,"50.503887","4.469936"
"Belgium",2020-04-28,36881,56762,76643,8791,47334,7331,"50.503887","4.469936"
"Belgium",2020-04-29,38929,59914,80899,9279,NA,NA,"50.503887","4.469936"
"Belgium",2020-04-30,41090,63240,85390,9794,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-01,43371,66751,90131,10338,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-02,45779,70457,95135,10912,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-03,48320,74368,100416,11518,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-04,51003,78497,105991,12157,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-05,53834,82855,111876,12832,NA,NA,"50.503887","4.469936"
